label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
linde_ph8_1_alignments,Linde & Duggan pH 8 (rep 1) Alignments,"Aligned strand-specific, paired-end reads, pH 8",pH 8,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_1_coverage,Linde & Duggan pH 8 (rep 1) Coverage,"Read coverage, pH 8",pH 8,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_1_density,Linde & Duggan pH 8 (rep 1) Density,"Read density, pH 8",pH 8,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_2_alignments,Linde & Duggan pH 8 (rep 2) Alignments,"Aligned strand-specific, paired-end reads, pH 8",pH 8,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_2_coverage,Linde & Duggan pH 8 (rep 2) Coverage,"Read coverage, pH 8",pH 8,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_2_density,Linde & Duggan pH 8 (rep 2) Density,"Read density, pH 8",pH 8,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_3_alignments,Linde & Duggan pH 8 (rep 3) Alignments,"Aligned strand-specific, paired-end reads, pH 8",pH 8,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph8_3_coverage,Linde & Duggan pH 8 (rep 3) Coverage,"Read coverage, pH 8",pH 8,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
